age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
73,State-gov,665051,HS-grad,2,Separated,Protective-serv,Wife,Other,Female,0,0,75,Japan,<=50K
54,Self-emp-not-inc,1261545,10th,13,Separated,Machine-op-inspct,Husband,White,Male,0,1752,54,Canada,<=50K
33,Private,837222,Assoc-voc,8,Married-AF-spouse,Tech-support,Unmarried,Black,Female,0,0,35,United-States,<=50K
49,Never-worked,1020743,12th,16,Married-spouse-absent,Transport-moving,Own-child,Asian-Pac-Islander,Female,0,0,73,Japan,<=50K
71,Self-emp-inc,1451654,Preschool,15,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,46955,0,13,Japan,>50K
41,Self-emp-not-inc,851975,Assoc-voc,8,Widowed,Armed-Forces,Husband,White,Male,0,0,76,Philippines,<=50K
75,Without-pay,588567,Assoc-acdm,7,Married-AF-spouse,Exec-managerial,Own-child,Other,Male,13975,870,1,Mexico,>50K
73,State-gov,713691,10th,13,Widowed,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,0,25,Cambodia,<=50K
65,State-gov,712991,Assoc-voc,8,Married-spouse-absent,Machine-op-inspct,Wife,Other,Male,0,0,55,Mexico,>50K
61,Private,529078,9th,5,Separated,Armed-Forces,Own-child,Asian-Pac-Islander,Female,99265,0,81,United-States,>50K
37,Never-worked,448867,1st-4th,14,Separated,Farming-fishing,Wife,Amer-Indian-Eskimo,Male,78389,0,40,Canada,>50K
40,Self-emp-not-inc,509425,1st-4th,14,Married-civ-spouse,Craft-repair,Wife,Other,Male,0,0,89,Germany,<=50K
28,Federal-gov,1048124,12th,16,Separated,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,0,0,36,Cuba,<=50K
42,Private,516348,HS-grad,2,Married-AF-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,0,3328,26,Mexico,>50K
69,Without-pay,680649,9th,5,Married-spouse-absent,Sales,Wife,White,Female,0,0,20,Japan,<=50K
76,Local-gov,825798,9th,5,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,31,India,<=50K
59,Private,978971,11th,3,Widowed,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,0,0,33,Japan,<=50K
66,Private,272675,11th,3,Widowed,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,0,0,61,India,<=50K
18,Self-emp-not-inc,1438336,9th,5,Never-married,Handlers-cleaners,Husband,Other,Female,0,0,49,Canada,<=50K
28,Local-gov,818860,12th,16,Separated,Priv-house-serv,Own-child,Black,Female,0,0,28,United-States,<=50K
77,Private,1345487,Some-college,6,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,0,0,28,England,<=50K
70,State-gov,1408876,Prof-school,11,Married-spouse-absent,Exec-managerial,Wife,Other,Male,0,0,14,India,>50K
44,Self-emp-inc,1246727,7th-8th,9,Separated,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,0,0,51,Philippines,<=50K
89,Never-worked,280884,9th,5,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,96936,660,9,Mexico,<=50K
82,Self-emp-not-inc,1341448,1st-4th,14,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,0,0,37,Philippines,<=50K
70,State-gov,577427,HS-grad,2,Divorced,Tech-support,Unmarried,Black,Female,0,294,88,Cambodia,>50K
30,Self-emp-inc,903881,5th-6th,12,Married-spouse-absent,Protective-serv,Wife,White,Female,31032,0,96,Germany,<=50K
48,Self-emp-not-inc,1402346,7th-8th,9,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Female,0,0,30,Germany,<=50K
67,Without-pay,876701,Preschool,15,Never-married,Other-service,Unmarried,Black,Female,0,3219,13,Canada,<=50K
58,Never-worked,132333,HS-grad,2,Never-married,Armed-Forces,Own-child,White,Female,0,1366,52,Puerto-Rico,<=50K
84,Federal-gov,48990,12th,16,Widowed,Machine-op-inspct,Wife,Other,Male,0,0,42,United-States,>50K
29,Local-gov,282024,12th,16,Married-AF-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,63429,0,66,Cambodia,>50K
77,Self-emp-inc,1197663,9th,5,Separated,Sales,Husband,Amer-Indian-Eskimo,Male,60600,3779,60,Puerto-Rico,<=50K
25,Self-emp-inc,1390590,Assoc-acdm,7,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,27,England,<=50K
71,Without-pay,1227054,12th,16,Married-AF-spouse,Craft-repair,Unmarried,White,Female,0,0,81,Puerto-Rico,>50K
84,Self-emp-not-inc,1373917,9th,5,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,53,United-States,<=50K
21,Self-emp-not-inc,271866,5th-6th,12,Married-spouse-absent,Tech-support,Husband,Amer-Indian-Eskimo,Male,68070,1714,32,Cuba,>50K
70,Never-worked,1191465,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,0,0,63,India,>50K
47,Self-emp-inc,85290,12th,16,Married-civ-spouse,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,0,0,6,Canada,>50K
67,Private,1257650,Preschool,15,Married-spouse-absent,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,32069,2523,62,Japan,>50K
73,State-gov,212213,Doctorate,10,Married-spouse-absent,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,85756,2015,38,Japan,>50K
35,Self-emp-inc,102966,Prof-school,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0,0,50,Canada,<=50K
40,Federal-gov,576642,5th-6th,12,Divorced,Farming-fishing,Own-child,Asian-Pac-Islander,Male,0,3991,48,Mexico,<=50K
50,Local-gov,1441213,Some-college,6,Married-spouse-absent,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,0,0,8,Puerto-Rico,<=50K
70,Private,313178,11th,3,Widowed,Farming-fishing,Not-in-family,Black,Male,13210,0,10,India,<=50K
